RAZON SOCIAL;Base Imp.;Inafecto;IGV;Total;T/C
DISTRIBUIDORA DE PRODUCTOS ANDINOS E.I.R.L.                                                         ;0,00;19.118,00;0,00;19.118,00;3,0000
SUPERMERCADOS PERUANOS S.A                                                                          ;9.990,00;0,00;1.798,20;11.788,20;3,2130
SUPERMERCADOS PERUANOS S.A                                                                          ;39.837,20;0,00;7.170,70;47.007,90;3,2130
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2130
SUPERMERCADOS PERUANOS S.A                                                                          ;73.013,64;0,00;13.142,46;86.156,10;3,2130
SUPERMERCADOS PERUANOS S.A                                                                          ;12.398,31;0,00;2.231,69;14.630,00;3,2170
SUPERMERCADOS PERUANOS S.A                                                                          ;52.417,37;0,00;9.435,13;61.852,50;3,2170
SUPERMERCADOS PERUANOS S.A                                                                          ;9.990,00;0,00;1.798,20;11.788,20;3,2170
SUPERMERCADOS PERUANOS S.A                                                                          ;24.190,17;0,00;4.354,23;28.544,40;3,2170
SUPERMERCADOS PERUANOS S.A                                                                          ;93.906,00;0,00;16.903,08;110.809,08;3,2170
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
MAYORSA S.A                                                                                         ;0,00;2.268,69;0,00;2.268,69;3,2170
MAYORSA S.A                                                                                         ;0,00;515,41;0,00;515,41;3,2170
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;42.510,60;0,00;42.510,60;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;12.700,44;0,00;12.700,44;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;2.826,24;0,00;2.826,24;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;2.077,50;0,00;2.077,50;3,2190
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;14.154,24;0,00;14.154,24;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;4.031,62;0,00;725,69;4.757,31;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;10.007,85;0,00;1.801,41;11.809,26;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;27.257,03;0,00;4.906,27;32.163,30;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;46.364,49;0,00;8.345,61;54.710,10;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;221.778,00;0,00;39.920,04;261.698,04;3,2190
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2140
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2140
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2140
SUPERMERCADOS PERUANOS S.A                                                                          ;73,13;0,00;13,16;86,29;3,2100
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;1.643,40;0,00;1.643,40;3,2100
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;13.644,30;0,00;13.644,30;3,2100
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;8.546,76;0,00;8.546,76;3,2100
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;14.131,20;0,00;14.131,20;3,2100
SUPERMERCADOS PERUANOS S.A                                                                          ;2.278,43;0,00;410,12;2.688,55;3,2100
SUPERMERCADOS PERUANOS S.A                                                                          ;22.067,24;0,00;3.972,10;26.039,34;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;46.127,29;0,00;8.302,91;54.430,20;3,2150
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;239.760,00;0,00;43.156,80;282.916,80;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;152.372,40;0,00;152.372,40;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;4.581,72;0,00;4.581,72;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;1.766,75;0,00;318,01;2.084,76;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;4.621,12;0,00;831,80;5.452,92;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;21.428,77;0,00;21.428,77;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;1.861,14;0,00;1.861,14;3,2150
JOCELYN EIRL                                                                                        ;0,00;5.734,80;0,00;5.734,80;3,2150
MAYORSA S.A                                                                                         ;0,00;1.829,93;0,00;1.829,93;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;111.492,00;0,00;111.492,00;3,2190
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;5.652,48;0,00;5.652,48;3,2190
MAYORSA S.A                                                                                         ;796,52;0,00;143,37;939,89;3,2190
MAYORSA S.A                                                                                         ;0,00;7.940,64;0,00;7.940,64;3,2190
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
MAYORSA S.A                                                                                         ;499,33;0,00;89,88;589,21;3,2170
MAYORSA S.A                                                                                         ;2.837,27;0,00;510,71;3.347,98;3,2170
