X;PMPT;PNBDT;PTDIT3
Bella Unión;1697;43,5;5.977
Chaparra;1830;41,0;4.985
Jaqui;1776;29,8;1.370
Yauca;1899;37,3;1.632
Ayo;1663;44,8;394
Choco;208;78,0;1.046
Machaguay;1149;28,7;774
Pampacolca;1350;36,7;2.849
Tipán;1520;34,6;544
Uñón;758;64,1;425
Viraco;1275;36,8;1.801
Achoma;1373;59,8;969
Cabanaconde;1388;77,7;2.529
Huambo;929;41,8;681
Huanca;1442;86,0;1.553
Lluta;984;73,0;1.319
Madrigal;1072;62,0;548
Tisco;690;91,7;1.548
Yanque;1140;56,4;2.196
Chuquibamba;1423;36,0;3.447
Chichas;248;67,9;716
Rio Grande;1263;41,2;2.940
Salamanca;1029;92,9;930
Cocachacra;1682;27,9;9.157
Dean Valdivia;1561;42,5;6.596
Alca;883;65,5;2.072
Charcana;444;65,0;582
Huaynacotas;497;63,5;2.321
Puyca;352;81,4;2.848
Quechualla;85;47,2;248
Sayla;621;69,0;562
Tauria;345;93,7;330
Tomepampa;1202;34,1;849
San José De Ticllas;27;39,6;2.215
Santiago De Pischa;364;43,1;1.547
Cangallo;619;32,3;6.767
Paras;76;47,3;4.696
Sancos;1047;39,0;3.577
Carapo;136;35,8;2.534
Sacsamarca;669;28,6;1.669
Santiago De Lucanamarca;105;37,4;2.650
Huanta;717;28,7;45.561
Ayahuanco;122;43,7;12.822
Sivia;356;84,1;12.296
Llochegua;678;86,4;10.676
Canayre;487;87,1;2.903
Pucacolpa;11;66,9;2.015
San Miguel;274;42,3;9.612
Anco;281;54,6;10.966
Santa Rosa;662;62,8;11.297
Samugari;668;66,4;8.067
Anchihuay;220;83,1;5.550
Puquio;1052;37,1;13.882
Aucara;185;60,6;5.165
Cabana;699;45,7;4.148
Carmen Salcedo;791;25,2;3.848
Chaviña;219;59,3;2.110
Chipao;217;75,8;3.814
Huac-Huas;886;70,9;2.773
Laramate;939;70,0;1.558
Llauta;957;43,3;1.206
Lucanas;544;65,9;4.023
Ocaña;424;85,3;3.057
Otoca;855;75,0;3.034
Saisa;1098;51,9;900
San Cristóbal;197;49,4;2.070
San Juan;839;70,1;1.474
San Pedro;227;55,7;3.092
San Pedro De Palco;465;59,0;1.423
Santa Lucía;1100;73,4;970
Coracora;707;46,2;15.293
Chumpi;253;53,4;2.751
Pacapausa;471;63,4;2.489
Pullo;595;64,4;4.800
Upahuacho;228;55,5;2.499
Pausa;1233;31,3;2.875
Colta;374;70,9;1.044
Oyolo;192;79,1;1.189
Pararca;688;36,9;666
Sara Sara;486;44,7;751
Querobamba;673;33,4;2.727
Huacaña;431;53,8;667
Morcolla;357;47,2;1.206
San Pedro De Larcay;55;60,6;1.010
Huancapi;473;22,7;2.063
Alcamenca;207;45,7;2.457
Cayara;237;41,8;1.210
Colca;194;27,9;1.067
Huaya;20;35,9;3.233
Vilcanchos;57;57,7;2.742
Saurama;241;29,8;1.338
Cajamarca;651;18,2;234.667
Cajamarca;1463;18,2;234.667
Cajamarca;1824;18,2;234.667
Asunción;86;37,7;13.185
Chetilla;4;56,6;4.298
Cospán;51;34,1;8.039
Encañada;119;49,2;24.379
Jesús;113;47,0;14.874
Llacanora;529;34,7;5.342
Los Baños Del Inca;958;25,6;41.321
Magdalena;236;34,8;9.721
Matara;232;45,0;3.686
Namora;203;56,9;10.525
San Juan;37;37,2;5.190
Cajabamba;239;27,7;30.503
Cachachi;38;50,2;26.631
Condebamba;260;42,6;14.017
Sitacocha;52;44,0;9.031
Celendín;551;29,6;27.638
Chumuch;28;62,8;3.240
Cortegana;35;69,4;8.796
Huasmín;44;58,9;13.791
Jorge Chávez;493;40,2;614
José Gálvez;847;27,6;2.675
Miguel Iglesias;111;59,8;5.472
Oxamarca;151;63,4;6.932
Sorochuco;25;53,7;10.069
Sucre;402;46,8;6.134
Utco;191;52,6;1.408
La Libertad De Pallán;8;61,0;8.781
Chota;1003;36,8;48.889
Anguia;99;61,2;4.367
Chadin;418;62,7;4.188
Chiguirip;50;56,9;4.765
Chimbán;43;43,1;3.657
Choropampa;15;54,4;2.874
Cochabamba;48;60,4;6.629
Conchán;176;46,7;7.005
Huambos;257;57,4;9.692
Lajas;362;60,5;12.845
Llama;306;49,4;8.230
Miracosta;6;46,5;3.937
Paccha;135;52,5;5.388
Pion;94;54,3;1.620
Querocoto;680;68,1;9.214
San Juan De Licupis;59;59,1;1.035
Tacabamba;247;52,6;20.148
Tocmoche;174;44,8;1.015
Chalamarca;246;49,3;11.259
Contumazá;371;40,2;8.716
Chilete;393;20,2;2.937
Cupisnique;47;21,5;1.525
Guzmango;116;33,7;3.147
San Benito;428;46,0;3.834
Santa Cruz De Toled;40;39,5;1.099
Tantarica;276;59,1;3.113
Yonán;1004;25,7;8.014
Cutervo;597;38,9;56.421
Callayuc;166;75,3;10.564
Choros;96;62,9;3.661
Cujillo;66;49,5;3.062
La Ramada;17;53,5;4.910
Pimpingos;98;64,6;5.992
Querocotillo;24;65,9;17.203
San Andres De Cutervo;202;63,1;5.379
San Juan De Cutervo;153;59,8;2.084
San Luis De Lucma;87;64,2;4.096
Santa Cruz;49;80,2;3.068
Santo Domingo De La Capilla;75;60,1;5.711
Santo Tomás;45;66,5;8.229
Socota;121;62,2;10.966
Toribio Casanova;177;44,1;1.370
Bambamarca;492;47,5;79.874
Chugur;481;82,5;3.660
Hualgayoc;353;57,6;17.288
Jaén;920;26,9;98.450
Jaén;1201;26,9;98.450
Jaén;1636;26,9;98.450
Bellavista;822;35,3;15.724
Chontali;858;52,7;10.407
Colasay;175;49,9;11.009
Huabal;123;60,5;7.370
Las Pirias;92;61,5;4.210
Pomahuaca;95;57,1;9.912
Pucará;851;35,0;7.661
Sallique;84;58,2;8.591
San Felipe;69;61,2;6.190
San José Del Alto;747;51,2;7.266
Santa Rosa;648;57,9;11.871
San Ignacio;526;37,9;36.742
Chirinos;292;45,0;14.374
Huarango;380;58,7;21.005
La Coipa;609;40,5;20.710
Namballe;67;43,2;11.441
San José De Lourdes;524;53,6;21.239
Tabaconas;62;47,1;20.991
Pedro Gálvez;867;21,5;21.161
Chancay;129;35,0;3.394
Eduardo Villanueva;738;28,9;2.338
Gregorio Pita;184;39,0;6.926
Ichocan;516;18,6;1.842
José Manuel Quiroz;13;30,7;4.115
José Sabogal;3;61,2;14.826
San Miguel;482;31,7;16.141
Bolívar;132;47,7;1.564
Calquis;152;57,0;4.517
Catilluc;58;52,6;3.525
