X;PMPT;PNBDT;PTDIT3
Teniente César López Rojas;626;94,5;6.527
Nauta;782;73,8;30.342
Parinari;267;72,0;7.427
Tigre;610;75,2;8.285
Trompeteros;1177;81,0;9.986
Urarinas;275;86,0;14.075
Ramón Castilla;1213;69,1;23.075
Pebas;378;66,2;16.422
Yavari;1054;57,5;14.293
San Pablo;606;71,4;15.261
Requena;793;74,5;29.599
Alto Tapiche;1294;93,0;2.098
Capelo;805;69,7;4.400
Emilio San Martín;149;80,5;7.480
Maquia;426;76,5;8.402
Puinahua;396;75,5;5.937
Saquena;683;74,7;4.919
Soplin;675;96,3;683
Tapiche;1164;61,5;1.189
Jenaro Herrera;273;76,7;5.603
Contamana;1141;56,9;26.682
Inahuaya;746;63,9;2.566
Padre Márquez;301;84,5;7.151
Pampa Hermosa;878;70,5;9.853
Sarayacu;124;68,0;16.595
Vargas Guerra;314;76,0;8.920
Barranca;737;83,8;13.437
Cahuapanas;422;99,5;8.093
Manseriche;768;76,1;10.234
Morona;570;86,8;11.110
Pastaza;390;89,5;6.451
Andoas;928;95,4;11.772
Piura;1548;18,0;149.199
Piura;1731;18,0;149.199
Piura;1918;18,0;149.199
Castilla;70;27,0;139.134
Castilla;1165;27,0;139.134
Castilla;1773;27,0;139.134
Catacaos;827;60,0;71.785
Cura Mori;155;90,6;18.348
El Tallán;672;84,3;5.444
La Arena;295;77,4;37.142
La Unión;719;62,8;39.728
Las Lomas;423;44,1;27.190
Tambo Grande;501;54,1;113.809
Tambo Grande;949;54,1;113.809
Tambo Grande;1510;54,1;113.809
Veintiseis De Octubre;1372;26,7;143.503
Veintiseis De Octubre;1673;26,7;143.503
Veintiseis De Octubre;1814;26,7;143.503
Ayabaca;315;61,1;38.801
Frías;187;43,3;24.111
Jilili;211;46,7;2.848
Lagunas;199;55,9;7.149
Montero;173;66,0;6.912
Pacaipampa;54;79,0;25.019
Paimas;415;61,8;10.243
Sapillica;548;58,0;12.020
Sicchez;448;19,0;2.007
Suyo;787;51,6;12.312
Huancabamba;384;47,8;30.609
Canchaque;664;40,4;8.495
El Carmen De La Frontera;126;62,9;13.673
Huarmaca;193;56,2;41.136
Lalaquiz;258;44,2;4.793
San Miguel De El Faique;467;29,3;9.104
Sondor;125;62,1;8.600
Sondorillo;311;55,1;10.794
Chulucanas;766;31,0;76.922
Buenos Aires;649;30,9;8.253
Chalaco;499;35,0;9.261
La Matanza;363;51,2;12.912
Morropón;918;21,0;14.315
Salitral;432;39,0;8.516
San Juan De Bigote;280;35,2;6.730
Santa Catalina De Mossa;932;22,9;4.183
Santo Domingo;781;45,1;7.463
Yamango;238;44,2;9.762
Paita;1465;34,0;88.196
Amotape;1126;54,1;2.330
Arenal;1789;59,1;1.037
Colan;872;53,6;12.523
La Huaca;1449;45,2;11.583
Tamarindo;436;56,8;4.559
Vichayal;655;78,4;4.873
Sullana;945;28,3;172.874
Sullana;1313;28,3;172.874
Sullana;1704;28,3;172.874
Bellavista;1282;30,8;37.884
Ignacio Escudero;1090;41,4;19.590
Lancones;592;88,3;13.201
Marcavelica;1305;51,9;28.365
Miguel Checa;234;61,5;8.388
Querecotillo;933;45,6;25.301
Salitral;1593;53,5;6.571
Pariñas;1525;26,2;90.253
El Alto;1558;26,5;7.144
La Brea;1664;19,9;12.101
Lobitos;1790;33,5;1.624
Los Órganos;1805;29,5;9.552
Máncora;1326;33,4;12.353
Sechura;1562;55,3;40.509
Bellavista De La Unión;942;33,2;4.249
Bernal;814;52,6;6.627
Cristo Nos Valga;900;77,9;3.776
Vice;759;54,2;13.862
Rinconada Llicuar;1378;49,3;3.072
Tumbes;1605;27,6;109.083
Tumbes;1818;27,6;109.083
Tumbes;1894;27,6;109.083
Corrales;1687;36,7;23.502
La Cruz;1745;35,9;9.040
Pampas De Hospital;1709;37,9;6.977
San Jacinto;1706;44,5;8.549
San Juan De La Virgen;1775;41,8;4.106
Zorritos;1764;35,2;11.963
Casitas;1590;64,3;2.184
Canoas De Punta Sal;1765;59,2;5.281
Zarumilla;1723;40,1;21.622
Aguas Verdes;1722;43,6;21.707
Matapalo;1752;49,7;2.189
Papayal;1517;39,6;5.277
